2024-12-17 17:09:45,883 - FileInfo(name='pre-rebase', extension='sample', is_directory=False, parent_dir='hooks')
2024-12-17 17:09:45,884 - FileInfo(name='pre-receive', extension='sample', is_directory=False, parent_dir='hooks')
2024-12-17 17:09:45,884 - FileInfo(name='prepare-commit-msg', extension='sample', is_directory=False, parent_dir='hooks')
2024-12-17 17:09:45,884 - FileInfo(name='push-to-checkout', extension='sample', is_directory=False, parent_dir='hooks')
2024-12-17 17:09:45,884 - FileInfo(name='sendemail-validate', extension='sample', is_directory=False, parent_dir='hooks')
2024-12-17 17:09:45,884 - FileInfo(name='update', extension='sample', is_directory=False, parent_dir='hooks')
2024-12-17 17:09:45,885 - FileInfo(name='exclude', extension='', is_directory=False, parent_dir='info')
2024-12-17 17:09:45,885 - FileInfo(name='refs', extension='', is_directory=True, parent_dir='logs')
2024-12-17 17:09:45,885 - FileInfo(name='HEAD', extension='', is_directory=False, parent_dir='logs')
2024-12-17 17:09:45,885 - FileInfo(name='heads', extension='', is_directory=True, parent_dir='refs')
2024-12-17 17:09:45,886 - FileInfo(name='master', extension='', is_directory=False, parent_dir='heads')
2024-12-17 17:09:45,886 - FileInfo(name='info', extension='', is_directory=True, parent_dir='objects')
2024-12-17 17:09:45,886 - FileInfo(name='pack', extension='', is_directory=True, parent_dir='objects')
2024-12-17 17:09:45,886 - FileInfo(name='pack-255f7d2da918223bdc36b3690120b5f37de50901', extension='idx', is_directory=False, parent_dir='pack')
2024-12-17 17:09:45,887 - FileInfo(name='pack-255f7d2da918223bdc36b3690120b5f37de50901', extension='pack', is_directory=False, parent_dir='pack')
2024-12-17 17:09:45,887 - FileInfo(name='pack-255f7d2da918223bdc36b3690120b5f37de50901', extension='rev', is_directory=False, parent_dir='pack')
2024-12-17 17:09:45,887 - FileInfo(name='heads', extension='', is_directory=True, parent_dir='refs')
2024-12-17 17:09:45,887 - FileInfo(name='tags', extension='', is_directory=True, parent_dir='refs')
2024-12-17 17:09:45,888 - FileInfo(name='master', extension='', is_directory=False, parent_dir='heads')
2024-12-17 17:09:45,888 - FileInfo(name='0.5', extension='3', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,888 - FileInfo(name='0.6', extension='0', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,888 - FileInfo(name='0.7', extension='0', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,889 - FileInfo(name='v2019.06', extension='06', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,889 - FileInfo(name='v2019.07', extension='08', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,889 - FileInfo(name='v2019.08', extension='09', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,889 - FileInfo(name='v2019.10', extension='06', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,889 - FileInfo(name='v2020.03', extension='30', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,890 - FileInfo(name='v2020.04', extension='29', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,890 - FileInfo(name='v2020.06', extension='02', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,890 - FileInfo(name='v2021.09', extension='05', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,890 - FileInfo(name='v2022.03', extension='13', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,891 - FileInfo(name='v2022.07', extension='20', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,891 - FileInfo(name='v2022.09', extension='04', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,891 - FileInfo(name='v2022.12', extension='20', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,891 - FileInfo(name='v2023.01', extension='28', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,891 - FileInfo(name='v2023.02', extension='10', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,892 - FileInfo(name='v2023.05', extension='21', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,892 - FileInfo(name='v2023.09', extension='16', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,892 - FileInfo(name='v2024.01', extension='21', is_directory=False, parent_dir='tags')
2024-12-17 17:09:45,892 - FileInfo(name='workflows', extension='', is_directory=True, parent_dir='.github')
2024-12-17 17:09:45,892 - FileInfo(name='ISSUE_TEMPLATE', extension='md', is_directory=False, parent_dir='.github')
2024-12-17 17:09:45,893 - FileInfo(name='no-response', extension='yml', is_directory=False, parent_dir='workflows')
2024-12-17 17:09:45,893 - FileInfo(name='push', extension='yml', is_directory=False, parent_dir='workflows')
2024-12-17 17:09:45,893 - FileInfo(name='pypi-release', extension='yml', is_directory=False, parent_dir='workflows')
2024-12-17 17:09:45,893 - FileInfo(name='support', extension='yml', is_directory=False, parent_dir='workflows')
